"Informazioni cronologiche","Sesso","Età","Provincia di residenza","Titolo di studio","A quale canale della Roberto Abate S.p.A. appartiene il tuo supermercato di fiducia?","Con quale frequenza ti rechi a fare la spesa?","Avevi già sentito parlare di Responsabilità Sociale d’Impresa?","Che cos’è secondo te un’azienda socialmente responsabile?","Secondo te quali di queste dovrebbe essere la responsabilità primaria di un’impresa:","Secondo te le imprese che seguono le politiche di RSI lo fanno perché:","Sceglieresti comunque un supermercato dove fare la tua spesa sapendo che esso non sostiene alcuna causa sociale?","Sei a conoscenza di iniziative a sostegno di cause sociali intraprese dai supermercati della Roberto Abate S.p.A.?","Essere a conoscenza di tali iniziative rappresenta un incentivo nella scelta dei supermercati Roberto Abate S.p.A. rispetto ad altri concorrenti?","Secondo te la Roberto Abate S.p.A. comunica adeguatamente le sue attività a sostegno di cause sociali?","Saresti interessato a saperne di più sulla RSI dell’azienda?","Secondo te la Roberto Abate S.p.A. può essere definita un’impresa socialmente responsabile?","Se hai risposto Sì alla domanda precedente, indica una motivazione:","Se invece hai risposto No, indica una motivazione:","Quale azione dovrebbe intraprendere la Roberto Abate S.p.A. per migliorare le sue attività di responsabilità sociale?","Qual è secondo te lo strumento più utile per la comunicazione di pratiche di RSI, soprattutto per farle conoscere al consumatore?"
"2017/11/01 7:08:53 PM CET","Femmina","18-24","Catania","Laurea triennale","Iperfamila","Tre volte a settimana","Sì","Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa","Sostegno ad associazioni no profit","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, molto","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Report su sito web"
"2017/11/01 7:15:00 PM CET","Femmina","18-24","Messina","Laurea magistrale","Iperfamila","Tre volte a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Rispetto per l’ambiente","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, per niente","Sì, molto","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit","Appoggio scarso o del tutto mancante ad enti no profit","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 7:15:19 PM CET","Femmina","25-35","Catania","Laurea magistrale","ARD","Tutti i giorni","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","Sì, abbastanza","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Facebook"
"2017/11/01 7:15:49 PM CET","Maschio","18-24","Catania","Diploma superiore","Iperfamila","Ci va mia mamma","No","Un’azienda che persegue i propri interessi rispettando le leggi e pagando le tasse","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, sempre","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Non saprei","Sì, abbastanza","No, non mi interessa molto","Non saprei","","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 7:17:25 PM CET","Maschio","18-24","Catania","Diploma superiore","A&O","Una volta a settimana","Sì","Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, per niente","Sì, abbastanza","Non saprei","","","Promuovere iniziative a tutela dell’ambiente","Pubblicità"
"2017/11/01 7:25:30 PM CET","Femmina","18-24","Catania","Diploma superiore","Famila","Una volta a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Ci credono veramente","No, mai","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","Sì, abbastanza","Sì, molto","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 7:26:26 PM CET","Femmina","18-24","Catania","Diploma superiore","Famila","Tre volte a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Ci credono veramente","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Promuovere iniziative a tutela dell’ambiente","Pubblicità"
"2017/11/01 7:28:11 PM CET","Femmina","25-35","Catania","Laurea triennale","Famila","Tre volte a settimana","Sì","Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","Sì, abbastanza","Non saprei","","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Codice etico"
"2017/11/01 7:29:08 PM CET","Maschio","18-24","Catania","Diploma superiore","Famila","Una volta a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","Sì, abbastanza","Non saprei","","","Coinvolgere maggiormente il cliente nelle attività di beneficienza","Pubblicità"
"2017/11/01 7:29:44 PM CET","Maschio","18-24","Catania","Diploma superiore","ARD","Tutti i giorni","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","Sì, abbastanza","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
