ID;IMPORTO;SOGGETTO;BENEFICIARIO;TIPO
1;3450;872;516;bonifico
2;505;989;;carta di credito
3;11320;178;702;bonifico
4;9325;729;378;assegno
5;620;706;;carta di credito
6;5775;842;127;bonifico
7;7255;713;136;bonifico
8;33600;143;194;assegno
9;7250;979;247;bonifico
10;36545;648;843;bonifico
11;1825;443;759;assegno
12;17050;279;275;assegno
13;11100;66;35;bonifico
14;43880;664;964;assegno
15;675;78;;carta di credito
16;595;437;;carta di credito
17;21575;760;919;bonifico
18;14710;889;828;bonifico
19;420;78;;carta di credito
20;6490;796;323;bonifico
21;11220;390;68;bonifico
22;25045;62;25;bonifico
23;21625;826;25;assegno
24;355;199;907;contante
25;3895;217;179;assegno
26;690;755;;carta di credito
27;1685;645;590;assegno
28;695;872;;carta di credito
29;1015;947;;carta di credito
30;19110;450;370;bonifico
31;31975;210;873;bonifico
32;5845;316;900;bonifico
33;34227;1000;212;assegno
34;5865;313;844;bonifico
35;41724;397;681;bonifico
36;225;862;;carta di credito
37;470;204;;carta di credito
38;24565;684;757;bonifico
39;37420;681;264;bonifico
40;14205;308;336;bonifico
41;20175;747;53;assegno
42;20750;568;20;assegno
43;5945;859;235;bonifico
44;280;809;;carta di credito
45;16817;128;732;assegno
46;440;234;;carta di credito
47;9360;190;708;assegno
48;500;354;;carta di credito
49;790;420;;carta di credito
50;545;887;;carta di credito
51;26250;394;371;bonifico
52;45652;678;981;bonifico
53;17895;281;135;bonifico
54;13185;880;33;bonifico
55;33521;360;333;bonifico
56;1045;16;;carta di credito
57;1680;287;559;bonifico
58;35542;574;424;assegno
59;575;681;;carta di credito
60;15135;414;716;bonifico
61;24725;901;188;bonifico
62;330;327;;carta di credito
63;400;824;;carta di credito
64;27280;554;423;assegno
65;24515;38;454;bonifico
66;14745;609;614;assegno
67;12215;794;482;bonifico
68;390;847;;carta di credito
69;305;379;;carta di credito
70;11760;352;554;bonifico
71;10170;616;604;assegno
72;21630;979;358;bonifico
73;7520;637;540;bonifico
74;305;220;;carta di credito
75;307;337;;carta di credito
76;9870;294;65;bonifico
77;515;113;;carta di credito
78;715;303;;carta di credito
79;12885;171;403;assegno
80;6485;651;851;bonifico
81;14198;346;911;bonifico
82;5450;316;858;assegno
83;790;212;;carta di credito
84;14390;491;638;assegno
85;215;34;858;contante
86;1835;246;620;assegno
87;14435;734;823;bonifico
88;665;382;;carta di credito
89;7440;8;570;bonifico
90;9115;646;483;bonifico
91;11570;437;138;bonifico
92;4508;34;430;assegno
93;3161;956;549;bonifico
94;28520;314;290;bonifico
95;4680;86;22;assegno
96;618;789;;carta di credito
97;99995;16;726;bonifico
98;7260;318;574;bonifico
99;1840;89;927;bonifico
100;11740;544;817;assegno
101;12015;232;355;assegno
102;13877;99;275;assegno
103;15145;83;992;bonifico
104;27210;372;434;assegno
105;455;112;655;contante
106;480;211;;carta di credito
107;400;846;;carta di credito
108;215;268;260;contante
109;760;519;;carta di credito
110;350;751;;carta di credito
111;590;110;;carta di credito
112;170;521;;carta di credito
113;1102;74;;carta di credito
114;375;27;220;contante
115;11390;863;405;bonifico
116;338;993;;carta di credito
117;2495;20;18;bonifico
118;1020;898;;carta di credito
119;25080;72;991;assegno
120;23000;625;956;assegno
121;5275;287;256;bonifico
122;540;206;341;contante
123;516;119;;carta di credito
124;14675;992;827;assegno
125;10495;754;518;bonifico
126;910;630;;carta di credito
127;12865;234;826;bonifico
128;3000;315;216;bonifico
129;620;907;;carta di credito
130;340;462;;carta di credito
131;67292;533;524;bonifico
132;250;348;;carta di credito
133;12775;311;993;bonifico
134;247;939;;carta di credito
135;19445;23;128;bonifico
