user id; screen name; followers; friends
384862671;DanielaPompei;2052;2600
468129321;PaolaToogoodxme;13501;17411
168731913;apinchofgingers;750;1278
280527752;xkyahstorm;1311;2342
741274807;maicontrocuoree;232;378
2445286363;SteKastel;1537;1383
836697530696093697;monvchele;322;145
51876726;OgerDiaz;811;193
771035442141597696;GtatyanTatyan;132;91
785459014721212416;DorotheaBrookeM;292;30
41929478;hammerjuan;9792;12240
389994501;GianniRosini;1290;596
111936352;raimondoschiavo;1853;1444
738458956453056513;monsieur_dapoz;95;35
1434133657;davide_barp;354;90
50471078;andreadurso_73;433;151
411076021;PierMaran;758;8916
400197414;CicconeMl;1370;638
468129321;PaolaToogoodxme;13501;17411
711489466351927296;lella250976;249;313
1142895247;EnricoNardiTw;105;180
825173406307930112;Leo_Wijaya28;29;2944
468396664;C_Pignatelli;93;1817
241456950;MUBA_Milano;1901;4033
287072963;TheOrdinaryL;1603;4865
725864985658818561;backstagecol;19;11
3095425977;ausraura1;585;304
2603136026;FankaFun;389;289
239233081;n_nisaaaa;357;261
732822644073062400;puspa_akhira;84;24
3369593145;BAEMALFOY_;407;141
3776826023;Maria_Mendes28;1032;190
2224012536;hervydirtysoul;3089;3837
709790629;86TB;2490;1445
751440588877271040;btobstacy;2003;1081
159551952;slipknotoverall;3824;1236
468129321;PaolaToogoodxme;13501;17411
866147862;Nazzi_Mi;6960;8525
468129321;PaolaToogoodxme;13501;17411
468129321;PaolaToogoodxme;13501;17411
2944075011;FLOATlNGINSPACE;4373;4340
468129321;PaolaToogoodxme;13501;17411
866147862;Nazzi_Mi;6960;8525
468129321;PaolaToogoodxme;13501;17411
3033068688;ruvesi_it;82;59
2601772910;tuttopordenone;1944;1927
817315907529822208;samuel_njogu_;374;366
989582592;CaleEuropaEdic;2441;1643
519391002;AaronPettinari;53;105
989582592;CaleEuropaEdic;2441;1643
48971905;rassegna_it;1033;17875
3403968118;1974cbar;157;232
477305279;FlaviaCorda;1363;2947
1317015313;tancrediturco;2545;4038
827888062520778754;stringimizara;15;3
2772740636;resistenzam5s;834;154
494986042;bianca_caimi;161;87
849210544938790914;Assopavsrl;16;0
713919523;peppino46ct;132;8
3903300501;Gabby_Pesce;1418;425
2342075825;cubillius;17;17
215718268;Miravnda;244;3154
558912245;romancebooks1;196;221
